Tipo;SKU;Precio normal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variable;SET-2-CUSTOM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CH-60X90-NE;16200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CH-50X70-NE;11600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CH-40X60-NE;8200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CH-40X50-NE;7700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CH-30X40-NE;5600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CH-20X30-NE;3800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CH-15X20-NE;2500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CA-40X60-NE;9000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CA-50X70-NE;12550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CA-60X90-NE;17300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CA-40X50-NE;8300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CA-30X40-NE;6100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CA-20X30-NE;4100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CA-15X20-NE;2600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CH-70X90-NA;16200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CH-50X70-NA;11600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CH-40X60-NA;8200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CH-40X50-NA;7700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CH-30X40-NA;5600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CH-15X20-NA;2500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CH-20X30-NA;3800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CA-60X90-NA;17300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CA-50X70-NA;12550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CA-40X60-NA;9000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CA-40X50-NA;8300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CA-30X40-NA;6100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CH-40X60-BL;8200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CH-40X50-BL;7700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CH-50X70-BL;11600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CH-60X90-BL;16200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CA-15X20-NA;2600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CA-20X30-NA;4100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CH-30X40-BL;5600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CH-20X30-BL;3800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CH-15X20-BL;2500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CAJ-60X90-BL;17300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CAJ-50X70-BL;12550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CAJ-40X60-BL;9000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CAJ-15X20-BL;2600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CAJ-40X50-BL;8300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CAJ-30X40-BL;6100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variation;SET-2-CUSTOM-CAJ-20X30-BL;4100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
