ID;Tipo;SKU;Nombre;Publicado;¿Está destacado?;Visibilidad en el catálogo;Descripción corta;Descripción;Día en que empieza el precio rebajado;Día en que termina el precio rebajado;Estado del impuesto;Clase de impuesto;¿En inventario?;Inventario;Cantidad de bajo inventario;¿Permitir reservas de productos agotados?;¿Vendido individualmente?;Peso (kg);Longitud (cm);Anchura (cm);Altura (cm);¿Permitir valoraciones de clientes?;Nota de compra;Precio rebajado;Precio normal;Categorías;Etiquetas;Clase de envío;Imágenes;Límite de descargas;Días de caducidad de la descarga;Superior;Productos agrupados;Ventas dirigidas;Ventas cruzadas;URL externa;Texto del botón;Posición;Nombre del atributo 1;Valor(es) del atributo 1;Atributo visible 1;Atributo global 1;Nombre del atributo 2;Valor(es) del atributo 2;Atributo visible 2;Atributo global 2;Nombre del atributo 3;Valor(es) del atributo 3;Atributo visible 3;Atributo global 3
2359;variable;SET-2-CUSTOM;Set de 2 Cuadros Custom;1;0;visible;"Decorá tu hogar con nuestros diseños y marcos modernos y exclusivos. Este producto es un set de cuadros listos para colgar, incluye lamina impresa en papel de alto gramaje, marco de madera kiry, vidrio de 2 mm y accesorios para colgar. <strong>Medidas de este Set:</strong><ul><li>2 Cuadros de la misma medida (seleccionable)</li></ul><strong>Se pueden seleccionar los motivos de cada cuadro según las imagenes disponibles en nuestro catálogo web. Puede descargarlo desde <a class=""descarga_catalogo"" href=""http://tiendacuadros.com.ar/"" target=""_blank"" rel=""noopener noreferrer"">aquí</a>.</strong>";;;;taxable;;1;100;;0;0;;;;;1;;;;Sets de Cuadros > Set de 2 Cuadros;;;;;;;;;;;;0;Color;Blanco, Natural, Negro;1;1;Tipo de Marco;Caja, Chata;1;1;Medida;15 X 20, 20 X 30, 30 X 40, 40 X 50, 40 X 60, 50 X 70, 60 X 90;1;1
2409;variation;SET-2-CUSTOM-CH-60X90-NE;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;16200;;;;;;;SET-2-CUSTOM;;;;;;42;Color;Negro;;1;Tipo de Marco;Chata;;1;Medida;60 X 90;;1
2408;variation;SET-2-CUSTOM-CH-50X70-NE;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;11600;;;;;;;SET-2-CUSTOM;;;;;;41;Color;Negro;;1;Tipo de Marco;Chata;;1;Medida;50 X 70;;1
2407;variation;SET-2-CUSTOM-CH-40X60-NE;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;8200;;;;;;;SET-2-CUSTOM;;;;;;40;Color;Negro;;1;Tipo de Marco;Chata;;1;Medida;40 X 60;;1
2406;variation;SET-2-CUSTOM-CH-40X50-NE;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;7700;;;;;;;SET-2-CUSTOM;;;;;;39;Color;Negro;;1;Tipo de Marco;Chata;;1;Medida;40 X 50;;1
2405;variation;SET-2-CUSTOM-CH-30X40-NE;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;5600;;;;;;;SET-2-CUSTOM;;;;;;38;Color;Negro;;1;Tipo de Marco;Chata;;1;Medida;30 X 40;;1
2404;variation;SET-2-CUSTOM-CH-20X30-NE;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;3800;;;;;;;SET-2-CUSTOM;;;;;;37;Color;Negro;;1;Tipo de Marco;Chata;;1;Medida;20 X 30;;1
2403;variation;SET-2-CUSTOM-CH-15X20-NE;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;2500;;;;;;;SET-2-CUSTOM;;;;;;36;Color;Negro;;1;Tipo de Marco;Chata;;1;Medida;15 X 20;;1
2400;variation;SET-2-CUSTOM-CA-40X60-NE;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;9000;;;;;;;SET-2-CUSTOM;;;;;;33;Color;Negro;;1;Tipo de Marco;Caja;;1;Medida;40 X 60;;1
2401;variation;SET-2-CUSTOM-CA-50X70-NE;Set de 2 Cuadros Custom;1;0;visible;;;;;taxable;parent;1;;;0;0;;;;;0;;;12550;;;;;;;SET-2-CUSTOM;;;;;;34;Color;Negro;;1;Tipo de Marco;Caja;;1;Medida;50 X 70;;1
